delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,emotion
53.16633710146854,34.16214891319327,45.86481323815483,112.92563405511555,0.40615059301566214,0.30251899136133936,0.4708084001150676,0.7448443916211973,1.1591966334933115,1.8183121515081644,1
51.9990865853706,33.75057566070808,45.564001032625505,110.69108656281847,0.4116320694599687,0.3049077997942882,0.46976760460166334,0.7407289723424733,1.1412317927948719,1.8222239423758135,1
51.233480215814765,35.228405792439176,43.81896488551139,107.37891227373848,0.40807793595268277,0.3280756439647316,0.47712794934266506,0.8039533997318896,1.1692079068886212,1.7487228666838934,1
49.99544933601433,36.493408667137416,41.42969816555301,102.6463970825443,0.40361570735148977,0.3555254709796664,0.4870648240659622,0.8808514250166586,1.2067538879050623,1.6658341730312478,1
48.07396262779716,36.5767092848838,39.67250330856968,97.38890275936924,0.4073616416707499,0.37557368702734417,0.4936287530272255,0.9219662545716605,1.2117703350827542,1.6191413838902635,1
46.74803454222675,35.90432318041409,38.50348170327348,92.59928964397929,0.41580752780404223,0.3877386459275992,0.5048422587469196,0.9324954937091204,1.214124865446969,1.5861951789348654,1
45.37179001480317,35.12839785269543,38.287561567335004,90.00870945265041,0.4253761863731242,0.3902777638554514,0.5040822192731388,0.917488511012025,1.185026890130085,1.5937387777424572,1
43.630688873524655,34.82898099478184,38.949167466619926,89.15069580859358,0.43689134575285576,0.3906753691475343,0.4894037952008774,0.8942163147551445,1.1201956732686744,1.6326841992864287,1
41.858435031338324,36.104049234875276,40.4931758046743,88.70004888284757,0.4565180776637057,0.4070352800206508,0.47190994321348934,0.8916082405842722,1.0337157854264032,1.6571204202058758,1
41.297372415656824,38.968492337743655,42.38501346232678,89.13782868678791,0.4754997298762913,0.4371712090348416,0.463297940100912,0.919393180619847,0.974339018492074,1.6385899853342414,1
44.33977546531194,41.60040552261299,44.57542369686371,90.9010073551145,0.4903732642117491,0.4576451541411038,0.4877809031542837,0.9332587796701068,0.9947134942977929,1.5764038368852564,1
48.76845657301831,42.77194358455122,46.56122959220244,93.47387255665618,0.4981202588346904,0.45758180777870716,0.5217335629639062,0.9186171404655987,1.047404825863652,1.529762835948003,1
52.438467955933554,42.402059729121426,47.65745970554631,95.57510878122343,0.4986388225268652,0.4436517025178807,0.5486623936360672,0.8897255537979657,1.1003202495459665,1.510246431382313,1
55.249739839322274,40.55793379588793,48.566135739673655,96.74858979503222,0.5019828799837184,0.41920956038545243,0.571065066233753,0.8351072857286476,1.1376186101252603,1.5167336813541143,1
56.230566862989185,37.63982811542496,48.85411353563574,97.74874668023335,0.49979273591561013,0.3850671174184625,0.5752561416151648,0.770453609560826,1.150989400758911,1.5617582119429774,1
55.34796599071658,34.4676155999342,48.23130194987206,97.03408729798939,0.49705524412008817,0.355211416520928,0.5703971411690026,0.7146316646346642,1.147552808096307,1.6173740310443263,1
52.75649691936566,32.631022325626574,47.04432880618372,93.85796406478818,0.5012289503074029,0.3476638626329255,0.5620886564612563,0.6936228691892274,1.1214209716268948,1.6501509133518417,1
49.75319366048389,33.48762469937931,45.787754085537145,89.52515295222767,0.5114512801778777,0.3740582796574382,0.5557454192458419,0.73136639628186,1.0866048063318157,1.6255595476342601,1
47.396466854198906,37.035522676757424,45.012537376464884,84.52374352826232,0.5325431115271649,0.43816708927916576,0.5607473696234347,0.8227823809844077,1.052961455111848,1.534208557968822,1
46.90842170779029,42.057804774621474,44.413891370675124,80.68520177641369,0.5504589490121151,0.5212579735645654,0.5813757749255923,0.9469515837648649,1.0561655432597876,1.406141387505295,1
51.398622987936385,47.1261601573544,43.02209267260151,79.20854835256313,0.5431496166437363,0.5949630581233778,0.6489024740001206,1.0953944178398034,1.194702995483747,1.2406080695951973,1
56.96352632549991,51.56592116621683,41.444132912188344,80.24490906336288,0.5164705573965231,0.6426067618258426,0.7098709063340136,1.2442272896738964,1.3744653904617572,1.1212536761954754,1
61.63617534877945,54.65923964269372,40.65030495486812,83.23586616450467,0.48837486564419447,0.6566789313475392,0.7405001976787712,1.3446206542208965,1.5162537013488788,1.0652713275794767,1
64.3687585241198,56.067883182401175,40.890484957205175,86.64792001147451,0.47191536682923463,0.6470770813076215,0.7428771344493399,1.3711718812110014,1.5741744953987784,1.0589667991529041,1
64.32892959628158,55.594137171255866,43.08185090551023,88.60402095714005,0.4862290722263043,0.6274448560088274,0.7260272039730462,1.2904305642110956,1.4931793375677325,1.0980862599012267,1
61.41683098489254,54.0833830237025,46.89436990766248,88.90157506457732,0.5274863788813509,0.6083512354468052,0.690840752149553,1.1533022648602715,1.3096845336833731,1.175720288813789,1
55.988103680259414,53.23662459957066,50.329490753679394,87.5325958405742,0.5749799862595877,0.6081920008008463,0.6396257661800898,1.0577620357837365,1.1124313566825896,1.2621874987965689,1
49.64413445918875,52.76864407141285,52.84962987451598,86.23091922864815,0.6128849181623703,0.6119457445593568,0.5757115301943305,0.9984676183485973,0.9393468710577872,1.3580390171877423,1
51.35898982294167,54.94099835898981,54.8887620225225,86.62406786589536,0.6336433207858237,0.6342463441458924,0.5928951512927293,1.0009516763458042,0.9356922606829344,1.331259130962648,1
69.21488441756485,64.37324034976545,57.65808779535518,89.99544904049856,0.640677816601689,0.715294395839917,0.7690931614377265,1.116465058262845,1.20043669611847,1.105289389255378,1
98.96853570809445,80.39245851790461,62.15192902061417,96.98424731312672,0.6408456088744834,0.8289228482471667,1.0204599040559772,1.2934829181446732,1.5923646661919242,0.8872395975527743,1
132.27718322596016,98.05691847384328,67.4581048183749,105.48207845950455,0.6395219529568963,0.9296073788637769,1.2540251875748019,1.4535972917984137,1.9608790312462083,0.75082318250588,1
